"Month","DayOfTheMonth","DayOfTheYear","DayOfTheWeek","Hour","Minute","OverallLoad1","OverallLoad2","OverallLoad3","OverallLoad4","OverallLoad5","OverallLoad6","OverallLoad7","OverallLoad8","OverallLoad9","OverallLoad10","OverallLoad11","OverallLoad12","AirLoad1","AirLoad2","AirLoad3","AirLoad4","AirLoad5","AirLoad6","AirLoad7","AirLoad8","AirLoad9","AirLoad10","AirLoad11","AirLoad12","isHollidays","Forecast"
3,11,71,1,13,30,0.11,0.1,0.11,0.1,0.12,0.1,0.11,0.1,0.12,0.1,0.1,0.11,0.01,0.01,0.01,0,0.01,0.01,0.01,0.01,0.01,0.01,0.01,0.01,0,0.11
9,13,257,5,17,0,0.86,1.41,1.9,1.25,1.57,1.4,1.45,1.34,1.44,1.5,0.43,0.2,0.29,0.97,1.48,0.97,1.16,0.98,1.07,1.01,1.01,1.03,0.01,0.01,0,0.12
9,8,252,7,22,0,0.11,0.12,0.11,0.1,0.1,0.11,0.11,0.11,0.11,0.1,0.13,0.07,0,0.01,0.01,0.01,0.01,0.01,0.01,0.01,0.01,0.01,0.01,0,0,0.11
9,14,258,6,0,30,0.13,0.11,0.11,0.1,0.11,0.12,0.11,0.07,0.11,0.1,0.12,0.11,0.01,0.01,0,0.01,0.01,0.01,0.01,0.01,0,0.01,0.01,0.01,0,0.1
12,9,344,1,21,30,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
9,20,264,5,4,0,0.11,0.09,0.1,0.12,0.1,0.12,0.12,0.11,0.11,0.11,0.12,0.24,0.01,0.01,0.01,0.01,0.01,0.01,0,0.01,0.01,0.01,0.01,0,0,0.4
2,2,33,5,10,30,0.11,0.31,0.46,0.52,0.57,0.6,0.56,0.65,0.77,0.95,0.91,0.93,0.01,0.01,0.01,0.01,0.01,0.01,0.01,0.11,0.29,0.31,0.3,0.31,0,0.91
4,24,115,3,0,0,0.11,0.1,0.1,0.09,0.12,0.1,0.1,0.07,0.1,0.11,0.1,0.09,0.01,0,0.01,0.01,0.01,0.01,0.01,0.01,0.01,0,0.01,0.01,0,0.1
9,29,273,7,11,45,0.1,0.12,0.1,0.1,0.11,0.11,0.11,0.1,0.11,0.1,0.07,0.13,0.01,0.01,0.01,0.01,0,0.01,0.01,0.01,0.01,0.01,0.01,0.01,0,0.11
8,4,217,7,23,15,0.12,0.08,0.1,0.1,0.11,0.11,0.13,0.1,0.1,0.1,0.11,0.12,0.01,0,0.01,0.01,0.01,0.01,0.01,0.01,0.01,0.01,0.01,0,1,0.11
10,9,283,3,10,30,0.26,0.28,0.5,0.58,1.25,1.88,2.5,2,2.02,0.89,3.13,1.83,0.01,0.01,0.01,0.01,0.94,1.69,2.15,1.75,1.55,0.72,2.35,1.35,0,1.79
8,16,229,5,2,45,0.1,0.07,0.11,0.13,0.09,0.11,0.1,0.12,0.11,0.11,0.06,0.11,0.01,0.01,0,0.01,0.01,0.01,0.01,0.01,0.01,0.01,0,0.01,1,0.11
5,12,133,7,6,45,0.11,0.1,0.09,0.1,0.1,0.1,0.09,0.1,0.11,0.09,0.09,0.09,0.01,0.01,0.01,0.01,0.01,0.01,0.01,0.01,0,0.01,0.01,0.01,0,0.11
1,1,1,3,7,0,0.1,0.11,0.11,0.11,0.1,0.11,0.1,0.1,0.08,0.11,0.1,0.1,0.01,0.01,0.01,0.01,0.01,0.01,0.01,0.01,0,0.01,0.01,0.01,0,0.11
5,15,136,3,18,30,0.45,0.43,0.24,0.24,0.11,0.13,0.11,0.1,0.12,0.11,0.11,0.09,0.01,0.01,0.01,0.01,0,0.01,0.01,0.01,0.01,0.01,0.01,0.01,0,0.1
11,30,335,6,18,45,0.53,0.61,0.65,0.6,0.38,0.61,0.58,0.54,0.47,0.44,0.47,0.46,0.01,0.01,0,0.01,0.01,0.01,0.01,0.01,0.01,0.01,0.01,0.01,0,0.45
5,13,134,1,11,30,0.11,0.1,0.09,0.09,0.11,0.09,0.09,0.1,0.1,0.1,0.09,0.1,0.01,0,0.01,0.01,0.01,0.01,0.01,0.01,0.01,0.01,0.01,0,0,0.1
5,6,127,1,9,30,0.1,0.1,0.1,0.09,0.1,0.11,0.09,0.1,0.09,0.12,0.09,0.1,0.01,0.01,0.01,0.01,0.01,0.01,0,0.01,0.01,0.01,0.01,0.01,0,0.1
4,7,98,7,3,0,0.1,0.11,0.11,0.11,0.1,0.1,0.12,0.1,0.1,0.1,0.12,0.1,0.01,0.01,0.01,0.01,0.01,0.01,0.01,0,0.01,0.01,0.01,0.01,0,0.11
4,23,114,2,17,45,0.27,0.27,0.39,0.32,0.27,0.12,0.11,0.12,0.11,0.1,0.09,0.11,0.01,0.01,0.01,0.01,0.01,0.01,0.01,0.01,0.01,0.01,0.01,0.01,0,0.1
5,24,145,5,12,30,0.13,0.14,0.13,0.15,0.14,0.07,0.12,0.11,0.12,0.1,0.1,0.11,0.01,0.01,0.01,0.01,0.01,0.01,0,0.01,0.01,0.01,0.01,0.01,0,0.12
5,19,140,7,10,0,0.09,0.1,0.11,0.08,0.09,0.11,0.09,0.12,0.09,0.11,0.09,0.12,0.01,0.01,0.01,0,0.01,0.01,0.01,0.01,0.01,0.01,0.01,0,0,0.1
